Industry,Industry Description,Year,Value Added (Billions Chained 2009)
525,"Funds, trusts, and other financial vehicles",2009,25.5
53,"Real estate and rental and leasing",2009,1904.8
531,"Real estate",2009,1740.6
532RL,"Rental and leasing services and lessors of intangible assets",2009,164.2
54,"Professional, scientific, and technical services",2009,1000.4
5411,"Legal services",2009,213.9
5412OP,"Miscellaneous professional, scientific, and technical services",2009,606.0
5415,"Computer systems design and related services",2009,180.4
55,"Management of companies and enterprises",2009,247.1
56,"Administrative and waste management services",2009,413.6
561,"Administrative and support services",2009,376.4
562,"Waste management and remediation services",2009,37.2
6,"Educational services, health care, and social assistance",2009,1214.0
61,"Educational services",2009,163.0
62,"Health care and social assistance",2009,1051.0
621,"Ambulatory health care services",2009,498.3
622,"Hospitals",2009,343.6
623,"Nursing and residential care facilities",2009,120.1
624,"Social assistance",2009,89.1
7,"Arts, entertainment, recreation, accommodation, and food services",2009,522.3
71,"Arts, entertainment, and recreation",2009,138.8
711AS,"Performing arts, spectator sports, museums, and related activities",2009,78.8
713,"Amusements, gambling, and recreation industries",2009,60.1
72,"Accommodation and food services",2009,383.5
721,"Accommodation",2009,106.6
722,"Food services and drinking places",2009,276.8
81,"Other services, except government",2009,329.5
FIRE,"Finance, insurance, real estate, rental, and leasing",2009,2874.0
G,"Government",2009,2065.8
GDP,"Gross domestic product",2009,14418.7
GF,"Federal",2009,664.0
GFE,"Government enterprises",2009,60.3
GFG,"General government",2009,603.6
GFGD,"National defense",2009,373.5
GFGN,"Nondefense",2009,230.2
GSL,"State and local",2009,1401.8
GSLE,"Government enterprises",2009,97.8
GSLG,"General government",2009,1304.0
HS,"Housing",2009,1464.9
ICT,"Information-communications-technology-producing industries [4]",2009,852.4
NABI,"Not allocated by industry [1]",2009,0.0
ORE,"Other real estate",2009,275.7
PGOOD,"Private goods-producing industries [2]",2009,2732.0
PROF,"Professional and business services",2009,1661.1
PSERV,"Private services-producing industries [3]",2009,9621.0
PVT,"Private industries",2009,12353.0
11,"Agriculture, forestry, fishing, and hunting",2010,140.3
111CA,"Farms",2010,111.5
113FF,"Forestry, fishing, and related activities",2010,28.8
21,"Mining",2010,272.7
211,"Oil and gas extraction",2010,158.6
212,"Mining, except oil and gas",2010,70.1
213,"Support activities for mining",2010,46.0
22,"Utilities",2010,274.4
23,"Construction",2010,551.6
311FT,"Food and beverage and tobacco products",2010,233.4
313TT,"Textile mills and textile product mills",2010,15.5
315AL,"Apparel and leather and allied products",2010,10.8
31G,"Manufacturing",2010,1818.2
31ND,"Nondurable goods",2010,843.8
321,"Wood products",2010,21.4
322,"Paper products",2010,53.4
323,"Printing and related support activities",2010,39.8
324,"Petroleum and coal products",2010,98.5
325,"Chemical products",2010,330.4
326,"Plastics and rubber products",2010,65.3
327,"Nonmetallic mineral products",2010,37.3
331,"Primary metals",2010,38.4
332,"Fabricated metal products",2010,129.2
333,"Machinery",2010,127.8
334,"Computer and electronic products",2010,255.8
335,"Electrical equipment, appliances, and components",2010,51.3
3361MV,"Motor vehicles, bodies and trailers, and parts",2010,99.7
3364OT,"Other transportation equipment",2010,112.3
337,"Furniture and related products",2010,23.3
339,"Miscellaneous manufacturing",2010,81.9
33DG,"Durable goods",2010,976.1
42,"Wholesale trade",2010,848.3
441,"Motor vehicle and parts dealers",2010,143.2
445,"Food and beverage stores",2010,142.4
44RT,"Retail trade",2010,862.1
452,"General merchandise stores",2010,120.3
481,"Air transportation",2010,70.1
482,"Rail transportation",2010,34.4
483,"Water transportation",2010,13.9
484,"Truck transportation",2010,119.8
485,"Transit and ground passenger transportation",2010,27.3
486,"Pipeline transportation",2010,17.3
487OS,"Other transportation and support activities",2010,91.0
48TW,"Transportation and warehousing",2010,421.4
493,"Warehousing and storage",2010,47.8
4A0,"Other retail",2010,457.1
51,"Information",2010,735.1
511,"Publishing industries, except internet (includes software)",2010,184.6
512,"Motion picture and sound recording industries",2010,107.4
513,"Broadcasting and telecommunications",2010,372.7
514,"Data processing, internet publishing, and other information services",2010,70.4
52,"Finance and insurance",2010,968.8
521CI,"Federal Reserve banks, credit intermediation, and related activities",2010,388.3
523,"Securities, commodity contracts, and investments",2010,192.2
524,"Insurance carriers and related activities",2010,359.7
525,"Funds, trusts, and other financial vehicles",2010,28.6
53,"Real estate and rental and leasing",2010,1957.2
531,"Real estate",2010,1794.8
532RL,"Rental and leasing services and lessors of intangible assets",2010,162.4
54,"Professional, scientific, and technical services",2010,1009.4
5411,"Legal services",2010,198.2
5412OP,"Miscellaneous professional, scientific, and technical services",2010,618.5
5415,"Computer systems design and related services",2010,193.1
55,"Management of companies and enterprises",2010,266.0
56,"Administrative and waste management services",2010,442.8
561,"Administrative and support services",2010,398.4
562,"Waste management and remediation services",2010,44.3
6,"Educational services, health care, and social assistance",2010,1220.5
61,"Educational services",2010,164.8
62,"Health care and social assistance",2010,1055.7
621,"Ambulatory health care services",2010,505.1
622,"Hospitals",2010,339.1
623,"Nursing and residential care facilities",2010,122.1
624,"Social assistance",2010,89.6
7,"Arts, entertainment, recreation, accommodation, and food services",2010,541.3
71,"Arts, entertainment, and recreation",2010,144.9
711AS,"Performing arts, spectator sports, museums, and related activities",2010,78.3
713,"Amusements, gambling, and recreation industries",2010,66.7
72,"Accommodation and food services",2010,396.4
721,"Accommodation",2010,111.6
722,"Food services and drinking places",2010,284.7
81,"Other services, except government",2010,323.9
FIRE,"Finance, insurance, real estate, rental, and leasing",2010,2925.4
G,"Government",2010,2079.8
GDP,"Gross domestic product",2010,14783.8
GF,"Federal",2010,680.4
GFE,"Government enterprises",2010,56.0
GFG,"General government",2010,624.2
GFGD,"National defense",2010,385.5
GFGN,"Nondefense",2010,238.9
GSL,"State and local",2010,1399.4
GSLE,"Government enterprises",2010,104.3
GSLG,"General government",2010,1295.2
HS,"Housing",2010,1480.0
ICT,"Information-communications-technology-producing industries [4]",2010,891.9
NABI,"Not allocated by industry [1]",2010,38.7
ORE,"Other real estate",2010,315.2
PGOOD,"Private goods-producing industries [2]",2010,2780.4
PROF,"Professional and business services",2010,1718.0
PSERV,"Private services-producing industries [3]",2010,9870.0
PVT,"Private industries",2010,12650.2
11,"Agriculture, forestry, fishing, and hunting",2011,134.0
111CA,"Farms",2011,105.7
113FF,"Forestry, fishing, and related activities",2011,28.5
21,"Mining",2011,290.1
211,"Oil and gas extraction",2011,165.2
212,"Mining, except oil and gas",2011,72.7
213,"Support activities for mining",2011,56.0
22,"Utilities",2011,277.9
23,"Construction",2011,548.6
311FT,"Food and beverage and tobacco products",2011,225.4
313TT,"Textile mills and textile product mills",2011,13.4
315AL,"Apparel and leather and allied products",2011,10.5
31G,"Manufacturing",2011,1823.2
31ND,"Nondurable goods",2011,793.4
321,"Wood products",2011,23.4
322,"Paper products",2011,50.8
323,"Printing and related support activities",2011,40.6
324,"Petroleum and coal products",2011,84.5
325,"Chemical products",2011,311.3
326,"Plastics and rubber products",2011,64.4
327,"Nonmetallic mineral products",2011,38.5
331,"Primary metals",2011,40.1
332,"Fabricated metal products",2011,137.4
333,"Machinery",2011,144.6
334,"Computer and electronic products",2011,264.8
335,"Electrical equipment, appliances, and components",2011,49.3
3361MV,"Motor vehicles, bodies and trailers, and parts",2011,127.4
3364OT,"Other transportation equipment",2011,114.4
337,"Furniture and related products",2011,23.6
339,"Miscellaneous manufacturing",2011,78.7
33DG,"Durable goods",2011,1037.5
42,"Wholesale trade",2011,866.0
441,"Motor vehicle and parts dealers",2011,146.0
445,"Food and beverage stores",2011,135.4
44RT,"Retail trade",2011,867.5
452,"General merchandise stores",2011,122.9
481,"Air transportation",2011,68.9
482,"Rail transportation",2011,35.3
483,"Water transportation",2011,15.8
484,"Truck transportation",2011,129.7
485,"Transit and ground passenger transportation",2011,28.1
486,"Pipeline transportation",2011,17.7
487OS,"Other transportation and support activities",2011,91.6
48TW,"Transportation and warehousing",2011,436.5
493,"Warehousing and storage",2011,50.4
4A0,"Other retail",2011,463.7
51,"Information",2011,736.1
511,"Publishing industries, except internet (includes software)",2011,190.1
512,"Motion picture and sound recording industries",2011,105.8
513,"Broadcasting and telecommunications",2011,365.8
514,"Data processing, internet publishing, and other information services",2011,74.5
52,"Finance and insurance",2011,978.0
521CI,"Federal Reserve banks, credit intermediation, and related activities",2011,411.6
523,"Securities, commodity contracts, and investments",2011,174.0
524,"Insurance carriers and related activities",2011,364.2
525,"Funds, trusts, and other financial vehicles",2011,28.5
53,"Real estate and rental and leasing",2011,2009.2
531,"Real estate",2011,1844.7
532RL,"Rental and leasing services and lessors of intangible assets",2011,164.5
54,"Professional, scientific, and technical services",2011,1046.1
5411,"Legal services",2011,199.7
5412OP,"Miscellaneous professional, scientific, and technical services",2011,636.9
5415,"Computer systems design and related services",2011,210.5
