Industry,Industry Description,Year,GDP (Billions Chained 2009)
513,"Broadcasting and telecommunications",2011,716.4
514,"Data processing, internet publishing, and other information services",2011,154.9
52,"Finance and insurance",2011,1818.4
521CI,"Federal Reserve banks, credit intermediation, and related activities",2011,606.0
523,"Securities, commodity contracts, and investments",2011,386.4
524,"Insurance carriers and related activities",2011,721.7
525,"Funds, trusts, and other financial vehicles",2011,106.0
53,"Real estate and rental and leasing",2011,2681.7
531,"Real estate",2011,2403.2
532RL,"Rental and leasing services and lessors of intangible assets",2011,278.3
54,"Professional, scientific, and technical services",2011,1639.9
5411,"Legal services",2011,269.7
5412OP,"Miscellaneous professional, scientific, and technical services",2011,1059.2
