Industry,Industry Description,Year,Intermediate Inputs (Billions Chained 2009)
GSLE,"Government enterprises",2010,138.6
GSLG,"General government",2010,586.5
HS,"Housing",2010,124.1
ICT,"Information-communications-technology-producing industries [4]",2010,617.0
II,"All industries",2010,10664.0
NABI,"Not allocated by industry [1]",2010,1.6
ORE,"Other real estate",2010,451.2
PGOOD,"Private goods-producing industries [2]",2010,3684.6
PROF,"Professional and business services",2010,982.9
PSERV,"Private services-producing industries [3]",2010,5822.3
PVT,"Private industries",2010,9505.9
11,"Agriculture, forestry, fishing, and hunting",2011,201.0
111CA,"Farms",2011,186.9
113FF,"Forestry, fishing, and related activities",2011,14.1
21,"Mining",2011,133.5
211,"Oil and gas extraction",2011,74.7
212,"Mining, except oil and gas",2011,40.8
213,"Support activities for mining",2011,17.0
22,"Utilities",2011,111.4
23,"Construction",2011,430.8
311FT,"Food and beverage and tobacco products",2011,540.0
313TT,"Textile mills and textile product mills",2011,33.8
315AL,"Apparel and leather and allied products",2011,14.1
31G,"Manufacturing",2011,3041.5
31ND,"Nondurable goods",2011,1598.1
321,"Wood products",2011,43.8
322,"Paper products",2011,111.4
323,"Printing and related support activities",2011,41.8
324,"Petroleum and coal products",2011,395.1
325,"Chemical products",2011,340.9
326,"Plastics and rubber products",2011,117.6
327,"Nonmetallic mineral products",2011,53.3
331,"Primary metals",2011,178.3
332,"Fabricated metal products",2011,178.2
333,"Machinery",2011,211.2
334,"Computer and electronic products",2011,123.8
335,"Electrical equipment, appliances, and components",2011,61.0
3361MV,"Motor vehicles, bodies and trailers, and parts",2011,356.3
3364OT,"Other transportation equipment",2011,134.1
337,"Furniture and related products",2011,35.5
339,"Miscellaneous manufacturing",2011,72.2
33DG,"Durable goods",2011,1449.1
42,"Wholesale trade",2011,431.3
441,"Motor vehicle and parts dealers",2011,53.8
445,"Food and beverage stores",2011,65.8
44RT,"Retail trade",2011,460.2
452,"General merchandise stores",2011,75.6
481,"Air transportation",2011,76.1
482,"Rail transportation",2011,31.7
483,"Water transportation",2011,35.1
484,"Truck transportation",2011,132.9
485,"Transit and ground passenger transportation",2011,16.5
486,"Pipeline transportation",2011,6.6
487OS,"Other transportation and support activities",2011,74.2
48TW,"Transportation and warehousing",2011,405.3
493,"Warehousing and storage",2011,32.6
4A0,"Other retail",2011,264.7
51,"Information",2011,570.7
511,"Publishing industries, except internet (includes software)",2011,108.8
512,"Motion picture and sound recording industries",2011,31.4
513,"Broadcasting and telecommunications",2011,350.2
514,"Data processing, internet publishing, and other information services",2011,80.4
52,"Finance and insurance",2011,840.0
521CI,"Federal Reserve banks, credit intermediation, and related activities",2011,193.4
523,"Securities, commodity contracts, and investments",2011,212.7
524,"Insurance carriers and related activities",2011,357.7
525,"Funds, trusts, and other financial vehicles",2011,77.3
53,"Real estate and rental and leasing",2011,673.0
531,"Real estate",2011,559.3
532RL,"Rental and leasing services and lessors of intangible assets",2011,113.4
54,"Professional, scientific, and technical services",2011,593.9
5411,"Legal services",2011,70.1
5412OP,"Miscellaneous professional, scientific, and technical services",2011,422.2
5415,"Computer systems design and related services",2011,101.6
55,"Management of companies and enterprises",2011,196.5
56,"Administrative and waste management services",2011,244.8
561,"Administrative and support services",2011,202.1
